A,B,Cin,Sum,Cout,Switching_Activity,Transistor_Count,Power_mW,Delay_ns
0,0,1,1,0,1,28,1.4487183489161757,1.4491847902725397
1,1,1,1,1,3,28,3.167613128730798,1.8320350358987676
1,0,0,1,0,1,28,1.4877852790230781,1.3192814024767823
1,1,0,0,1,2,28,2.453827245937977,1.5317217705475439
1,0,0,1,0,1,28,1.6790779197703243,1.273318556539672
1,1,0,0,1,2,28,2.117699340447775,1.63518891742193
1,0,0,1,0,1,28,1.373527757611108,1.4461281003945339
1,1,1,1,1,3,28,3.313778796546302,1.8661363714685943
0,0,1,1,0,1,28,1.4673871795033733,1.2634204109219316
1,1,0,0,1,2,28,2.249123481241073,1.6429198210369167
1,0,0,1,0,1,28,1.3230848054434161,1.254098593081997
1,0,1,0,1,2,28,2.2421513912596907,1.6598838195284376
0,1,0,1,0,1,28,1.7693732908165767,1.4349697400871728
1,1,1,1,1,3,28,2.985437074128414,1.7693940064918778
1,1,1,1,1,3,28,3.345191136496336,1.8968132828242856
1,1,0,0,1,2,28,2.11323057804077,1.6455985886866709
1,1,0,0,1,2,28,2.4807096906278323,1.6048648266132766
0,1,0,1,0,1,28,1.608165042118965,1.3539968366842392
1,1,1,1,1,3,28,3.3703506141040407,1.8161641614471284
1,1,0,0,1,2,28,2.41087025919863,1.5635457842276752
0,1,0,1,0,1,28,1.4296856570420058,1.3977830667384372
1,1,0,0,1,2,28,2.3086650857405737,1.5300027961972218
1,0,0,1,0,1,28,1.512546554834727,1.3518921417755971
1,0,1,0,1,2,28,2.2425448882376733,1.5169866029464145
1,1,1,1,1,3,28,3.171087297436561,1.8256730047700414
1,1,1,1,1,3,28,3.1422912983696802,1.9367924032709751
0,0,0,0,0,0,28,0.713851931120937,1.073966540819462
0,1,1,0,1,2,28,2.111187610574214,1.5116100121567397
0,1,1,0,1,2,28,2.5050838120362933,1.5134398631302446
0,1,0,1,0,1,28,1.5220520587028536,1.3124434651697077
1,1,0,0,1,2,28,2.4044371085352334,1.6013324936193492
0,0,1,1,0,1,28,1.5266998991220306,1.2868663048680178
0,1,1,0,1,2,28,2.3518090808018806,1.6622688232253455
0,1,0,1,0,1,28,1.6201099417957594,1.2829846064196255
1,1,0,0,1,2,28,2.566920871151278,1.5359750278556723
1,1,1,1,1,3,28,3.123086728697816,1.9003367411794978
0,1,1,0,1,2,28,2.5816205026409915,1.5812412730625116
1,0,0,1,0,1,28,1.4804563173200018,1.4001766644914955
1,0,1,0,1,2,28,2.506508353929254,1.638999013785213
0,0,0,0,0,0,28,0.6436319478278365,1.193204332266269
1,1,0,0,1,2,28,2.589887281698163,1.5910660643779697
1,1,1,1,1,3,28,3.006818237080889,1.923354317361705
0,1,0,1,0,1,28,1.7106791401504358,1.4089779803757179
0,1,0,1,0,1,28,1.503165688530394,1.3691061333032988
0,0,0,0,0,0,28,0.9544869245514566,1.1298600495277067
1,1,0,0,1,2,28,2.3280208722797315,1.688823762201649
0,0,1,1,0,1,28,1.738964041478332,1.3357001097900152
0,1,1,0,1,2,28,2.184557960436397,1.656736605772594
0,0,0,0,0,0,28,0.7998342645550416,1.0719821505022908
1,1,0,0,1,2,28,2.437883731638345,1.5399989991170688
1,1,0,0,1,2,28,2.2158296627122156,1.6351540811442318
0,1,1,0,1,2,28,2.2917568161881037,1.5558269980997212
0,1,1,0,1,2,28,2.3508325426013394,1.569886282411431
1,1,1,1,1,3,28,3.167456668795405,1.8816191785320913
1,1,1,1,1,3,28,3.1263192295822355,1.9123456560889922
1,1,1,1,1,3,28,2.982263952383983,1.9292173373186678
1,1,1,1,1,3,28,3.012987501208855,1.76421063293844
0,1,1,0,1,2,28,2.3922477334138366,1.6626642191269287
1,1,0,0,1,2,28,2.136465882147072,1.6529397579977496
1,1,0,0,1,2,28,2.5350195571302967,1.6623466169145864
0,0,1,1,0,1,28,1.6090103060158183,1.420143093676917
0,1,1,0,1,2,28,2.596810491451083,1.6058862298699634
0,1,0,1,0,1,28,1.7630888210810953,1.305335630036592
1,0,0,1,0,1,28,1.7954981077832706,1.3169317944274446
1,1,0,0,1,2,28,2.4008511061274227,1.6380891945122789
0,0,0,0,0,0,28,0.6933941732241808,1.1536234024768877
1,1,0,0,1,2,28,2.4016284123568172,1.5802883148901927
0,1,1,0,1,2,28,2.2671869625034047,1.6193827049992515
1,0,1,0,1,2,28,2.1856094074005226,1.6201654620016628
0,0,0,0,0,0,28,0.5725914650087587,1.152965445467651
1,0,0,1,0,1,28,1.611718774019851,1.2874401900798247
0,1,1,0,1,2,28,2.584087656874069,1.5106302814776926
0,0,0,0,0,0,28,0.7729884571343826,1.1498635718108374
1,0,0,1,0,1,28,1.7590418712460258,1.306640658464176
0,1,0,1,0,1,28,1.4390668418452357,1.2688711907598331
1,1,1,1,1,3,28,3.3904472092350963,1.758732013152163
0,1,0,1,0,1,28,1.3102081846603617,1.2860351743235228
0,1,0,1,0,1,28,1.4062897018397789,1.3405518841631763
1,1,1,1,1,3,28,3.377811565830415,1.8972179208358517
0,0,1,1,0,1,28,1.718727321066953,1.3998272163330636
1,1,0,0,1,2,28,2.4327937586816444,1.6899706173833042
0,0,1,1,0,1,28,1.4782834669288856,1.3711481954020872
0,0,1,1,0,1,28,1.331643406739654,1.2946843860258828
0,1,0,1,0,1,28,1.4492458937757733,1.3734449255950514
1,0,0,1,0,1,28,1.6734170285142236,1.4218347174385717
1,0,1,0,1,2,28,2.281298438313825,1.6587856408699246
0,1,0,1,0,1,28,1.3996079908216683,1.3634541209008073
0,1,0,1,0,1,28,1.4242610432631444,1.4095107176872237
1,1,0,0,1,2,28,2.4328054676263524,1.5913816870571957
0,1,0,1,0,1,28,1.453266210874493,1.2798426461482288
1,0,0,1,0,1,28,1.7372340647240043,1.3332641606677498
1,0,0,1,0,1,28,1.5121988324805005,1.329878375581144
0,0,0,0,0,0,28,0.7211864724435586,1.1117037737927393
0,1,0,1,0,1,28,1.7971347333040506,1.291768853260186
0,0,1,1,0,1,28,1.5482117665356632,1.4026423873936675
0,1,0,1,0,1,28,1.7965845850007662,1.288499857916682
0,0,0,0,0,0,28,0.7682074069518263,1.045070569737306
1,1,1,1,1,3,28,2.9349695191418057,1.8512685962146211
1,0,1,0,1,2,28,2.4627977814424082,1.5603797249183105
1,0,1,0,1,2,28,2.1179937694238915,1.6280138144574916
0,1,0,1,0,1,28,1.4062967494675211,1.3908603088699203
1,0,0,1,0,1,28,1.7351082972058987,1.2944635814757495
0,1,1,0,1,2,28,2.438270193163552,1.638774049469046
1,0,0,1,0,1,28,1.3764606935834152,1.2778623440947494
0,1,1,0,1,2,28,2.544988899361141,1.6652542421529017
1,1,1,1,1,3,28,3.3830307865501448,1.7851752523238782
0,0,0,0,0,0,28,0.8330631099656491,1.0280284242006057
0,1,0,1,0,1,28,1.6029533243598426,1.3836736781638452
1,0,0,1,0,1,28,1.4498918367561615,1.3601970561804233
0,0,1,1,0,1,28,1.6451052440475447,1.3048965422615142
1,0,0,1,0,1,28,1.6040815026801865,1.2625163292667954
0,1,1,0,1,2,28,2.200793489767006,1.5232536115707402
1,0,0,1,0,1,28,1.4068242823433947,1.37434728342065
1,0,0,1,0,1,28,1.6656907210401508,1.3150979564865137
0,0,0,0,0,0,28,0.624897275245653,1.1616915287800316
